"","Name","OverallRank","Seattle","NYC","UniqueToSeattle","UniqueToNYC"
"2318","Vivian",2318,2336,3204,FALSE,FALSE
"2319","Webster",2319,2339,3217,FALSE,FALSE
"2320","Wes",2320,2341,3219,FALSE,FALSE
"2321","Winona",2321,2343,3224,FALSE,FALSE
"2322","Winslow",2322,11645,1616,FALSE,TRUE
"2323","Wolf",2323,3554,2131,FALSE,FALSE
"2324","Yaya",2324,11724,1618,FALSE,TRUE
"2325","Yukon",2325,1425,NA,TRUE,FALSE
"2326","Yuri",2326,3572,2137,FALSE,FALSE
"2327","Zack",2327,11792,1621,FALSE,TRUE
"2328","Zazu",2328,3576,2139,FALSE,FALSE
"2329","Zee",2329,1786,8806,TRUE,FALSE
"2330","Zeek",2330,1787,8808,TRUE,FALSE
"2331","Ziti",2331,3585,2145,FALSE,FALSE
"2332","Zuri",2332,2359,3257,FALSE,FALSE
"2333","Abe",2333,3618,1628,FALSE,TRUE
"2334","Acorn",2334,1792,3278,TRUE,FALSE
"2335","Adam",2335,NA,1307,FALSE,TRUE
"2336","Adonis",2336,NA,1309,FALSE,TRUE
"2337","Aiden",2337,1795,3310,TRUE,FALSE
"2338","Al",2338,NA,1312,FALSE,TRUE
"2339","Albie",2339,1430,NA,TRUE,FALSE
"2340","Aldo",2340,2374,2164,FALSE,FALSE
"2341","Alejandro",2341,2375,2165,FALSE,FALSE
"2342","Alexis",2342,3726,1633,FALSE,TRUE
"2343","Alistair",2343,3739,1635,FALSE,TRUE
"2344","Alli",2344,1802,3350,TRUE,FALSE
"2345","Alpine",2345,1434,NA,TRUE,FALSE
"2346","Althea",2346,2385,2171,FALSE,FALSE
"2347","Anja",2347,1807,3403,TRUE,FALSE
"2348","Annapurna",2348,1436,NA,TRUE,FALSE
"2349","Ansel",2349,1808,3410,TRUE,FALSE
"2350","Aoife",2350,2405,2182,FALSE,FALSE
"2351","Arizona",2351,3867,1647,FALSE,TRUE
"2352","Asa",2352,3893,1649,FALSE,TRUE
"2353","Astor",2353,3919,1650,FALSE,TRUE
"2354","Audi",2354,3932,1652,FALSE,TRUE
"2355","Audie",2355,1812,3481,TRUE,FALSE
"2356","Auri",2356,1441,NA,TRUE,FALSE
"2357","Aya",2357,2418,2192,FALSE,FALSE
"2358","Baez",2358,4021,1656,FALSE,TRUE
"2359","Bagheera",2359,1443,NA,TRUE,FALSE
"2360","Barron",2360,NA,1324,FALSE,TRUE
"2361","Bartlet",2361,2443,2211,FALSE,FALSE
"2362","Bash",2362,1822,3610,TRUE,FALSE
"2363","Beagle",2363,NA,1327,FALSE,TRUE
"2364","Bebop",2364,1828,3644,TRUE,FALSE
"2365","Beemo",2365,1830,3653,TRUE,FALSE
"2366","Beetlejuice",2366,1449,NA,TRUE,FALSE
"2367","Benedict",2367,2461,2224,FALSE,FALSE
"2368","Bengi",2368,NA,1329,FALSE,TRUE
"2369","Bento",2369,1453,NA,TRUE,FALSE
"2370","Bergen",2370,2464,2234,FALSE,FALSE
"2371","Berlin",2371,4246,1669,FALSE,TRUE
